index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
14462,경쟁사,2021-12-27,4,식물등,부정,0.547330225,naver,"[('무게', 'Noun'), ('감', 'Noun'), ('없이', 'Adverb'), ('너무', 'Adverb'), ('가볍다', 'Adjective'), ('중심', 'Noun'), ('을', 'Josa'), ('딱', 'Adverb'), ('못', 'Noun'), ('잡다', 'Verb'), ('주네', 'Noun'), ('요', 'Josa')]","['무게', '감', '중심', '못', '주네']","['가볍다', '잡다']","['무게', '감', '가볍다', '중심', '못', '잡다', '주네']",무게감 없이 너무 가벼워서 중심을 딱 못 잡아 주네요,무게 감 없이 너무 가볍다 중심 딱 못 잡다 주네,경쟁사(식물등)
14463,경쟁사,2021-12-27,4,식물등,부정,0.549016726,naver,"[('거의', 'Noun'), ('4천', 'Number'), ('원', 'Modifier'), ('가격', 'Noun'), ('인데', 'Josa'), ('가격', 'Noun'), ('대비', 'Noun'), ('비싸다', 'Adjective'), ('생각', 'Noun'), ('되다', 'Verb')]","['거의', '가격', '가격', '대비', '생각']","['비싸다', '되다']","['거의', '가격', '가격', '대비', '비싸다', '생각', '되다']",거의 4천 원가격인데 가격 대비 비싸다고 생각되네요,거의 4천 원 가격 가격 대비 비싸다 생각 되다,경쟁사(식물등)
14464,경쟁사,2021-12-27,4,식물등,부정,0.546262532,naver,"[('아무튼', 'Adverb'), ('자다', 'Verb'), ('쓸다', 'Verb')]",[],"['자다', '쓸다']","['자다', '쓸다']",아무튼 잘 쓸게요,아무튼 자다 쓸다,경쟁사(식물등)
14471,경쟁사,2022-11-09,4,식물등,부정,0.547413668,naver,"[('제', 'Noun'), ('가', 'Josa'), ('기존', 'Noun'), ('이', 'Josa'), ('자다', 'Verb'), ('쓰다', 'Verb'), ('있다', 'Adjective'), ('식물', 'Noun'), ('생장', 'Noun'), ('등', 'Noun'), ('은', 'Josa'), ('높낮이', 'Noun'), ('조절', 'Noun'), ('이', 'Josa'), ('안', 'Noun'), ('되어다', 'Verb'), ('바꾸다', 'Verb'), ('되어다', 'Verb')]","['제', '기존', '식물', '생장', '등', '높낮이', '조절', '안']","['자다', '쓰다', '있다', '되어다', '바꾸다', '되어다']","['제', '기존', '자다', '쓰다', '있다', '식물', '생장', '등', '높낮이', '조절', '안', '되어다', '바꾸다', '되어다']",제가 기존이 잘 쓰고 있던 식물 생장등은 높낮이 조절이 안 되어서 바꾸게 되었습니다,제 기존 자다 쓰다 있다 식물 생장 등 높낮이 조절 안 되어다 바꾸다 되어다,경쟁사(식물등)
14472,경쟁사,2022-11-09,4,식물등,부정,0.548855159,naver,"[('장점', 'Noun'), ('높낮이', 'Noun'), ('조절', 'Noun'), ('가능', 'Noun'), ('기본', 'Noun'), ('세팅된', 'Noun'), ('타이머', 'Noun'), ('기능', 'Noun'), ('단점', 'Noun'), ('사실', 'Noun'), ('제', 'Noun'), ('가', 'Josa'), ('이전', 'Noun'), ('에', 'Josa'), ('쓰다', 'Verb'), ('것', 'Noun'), ('보다는', 'Josa'), ('광량', 'Noun'), ('이', 'Noun'), ('적다', 'Verb'), ('보', 'Noun'), ('여서', 'Josa'), ('걱정', 'Noun'), ('이에요', 'Josa')]","['장점', '높낮이', '조절', '가능', '기본', '세팅된', '타이머', '기능', '단점', '사실', '제', '이전', '것', '광량', '이', '보', '걱정']","['쓰다', '적다']","['장점', '높낮이', '조절', '가능', '기본', '세팅된', '타이머', '기능', '단점', '사실', '제', '이전', '쓰다', '것', '광량', '이', '적다', '보', '걱정']",장점 높낮이 조절 가능 기본 세팅된 타이머 기능단점 사실 제가 이전에 쓰던 것보다는 광량 이 적어 보여서 걱정이에요,장점 높낮이 조절 가능 기본 세팅된 타이머 기능 단점 사실 제 이전 쓰다 것 광량 이 적다 보 걱정,경쟁사(식물등)
14474,경쟁사,2021-12-08,4,식물등,부정,0.546885648,naver,"[('조금', 'Noun'), ('길이', 'Noun'), ('가', 'Josa'), ('더', 'Noun'), ('길다', 'Adjective'), ('싶다', 'Verb')]","['조금', '길이', '더']","['길다', '싶다']","['조금', '길이', '더', '길다', '싶다']",조금 길이가 더 길었으면 싶네요,조금 길이 더 길다 싶다,경쟁사(식물등)
14475,경쟁사,2021-12-08,4,식물등,부정,0.546177772,naver,"[('작', 'Noun'), ('지만', 'Josa'), ('광량', 'Noun'), ('은', 'Josa'), ('세다', 'Verb'), ('거', 'Noun'), ('같다', 'Adjective')]","['작', '광량', '거']","['세다', '같다']","['작', '광량', '세다', '거', '같다']",작지만 광량은 센 거 같고요,작 광량 세다 거 같다,경쟁사(식물등)
14476,경쟁사,2021-12-08,4,식물등,부정,0.545804378,naver,"[('우리', 'Noun'), ('집', 'Noun'), ('이', 'Josa'), ('북향', 'Noun'), ('이라', 'Josa'), ('해', 'Noun'), ('가', 'Josa'), ('없다', 'Adjective'), ('식물', 'Noun'), ('이', 'Josa'), ('자꾸', 'Noun'), ('죽다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]","['우리', '집', '북향', '해', '식물', '자꾸', '구매']","['없다', '죽다', '하다']","['우리', '집', '북향', '해', '없다', '식물', '자꾸', '죽다', '구매', '하다']",우리 집이 북향이라 해가 없어 식물이 자꾸 죽어서 구매했어요,우리 집 북향 해 없다 식물 자꾸 죽다 구매 하다,경쟁사(식물등)
14477,경쟁사,2021-12-08,4,식물등,부정,0.546301797,naver,"[('이', 'Noun'), ('아이', 'Noun'), ('도', 'Josa'), ('죽다', 'Verb'), ('다시', 'Noun'), ('살아나다', 'Verb')]","['이', '아이', '다시']","['죽다', '살아나다']","['이', '아이', '죽다', '다시', '살아나다']",이 아이도 죽어가는데 다시 살아나길,이 아이 죽다 다시 살아나다,경쟁사(식물등)
14510,경쟁사,2022-07-01,4,식물등,부정,0.546486872,naver,"[('다른', 'Noun'), ('건', 'Noun'), ('다', 'Adverb'), ('좋다', 'Adjective'), ('화분', 'Noun'), ('한계', 'Noun'), ('만', 'Josa'), ('비취', 'Noun'), ('줄', 'Noun'), ('때', 'Noun'), ('는', 'Josa'), ('아쉽다', 'Adjective'), ('점', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective')]","['다른', '건', '화분', '한계', '비취', '줄', '때', '점']","['좋다', '아쉽다', '있다']","['다른', '건', '좋다', '화분', '한계', '비취', '줄', '때', '아쉽다', '점', '있다']",다른 건 다 좋은데 화분 한계만 비취 줄 때는 아쉬운 점이 있어요,다른 건 다 좋다 화분 한계 비취 줄 때 아쉽다 점 있다,경쟁사(식물등)
