name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2022-07-25,4,naver,뿌리영양제,"['답변', '부탁', '드립ㄴ']",부정,"[('답변', 'Noun'), ('부탁', 'Noun'), ('드립', 'Noun'), ('ㄴ', 'KoreanParticle'), ('다', 'Adverb')]",답변 부탁 드립 ㄴ 다
경쟁사,2022-07-19,4,naver,뿌리영양제,"['배송', '만족']",부정,"[('배송', 'Noun'), ('만족하다', 'Adjective')]",배송 만족하다
경쟁사,2022-07-19,4,naver,뿌리영양제,"['제품', '사용', '후기']",부정,"[('제품', 'Noun'), ('은', 'Josa'), ('사용', 'Noun'), ('하', 'Suffix'), ('보고', 'Noun'), ('후기', 'Noun'), ('올리다', 'Verb')]",제품 사용 하 보고 후기 올리다
경쟁사,2022-07-21,4,naver,뿌리영양제,"['가격착', '배', '만족']",부정,"[('가격', 'Noun'), ('착하다', 'Adjective'), ('배송', 'Noun'), ('빠르다', 'Adjective'), ('만족하다', 'Adjective')]",가격 착하다 배송 빠르다 만족하다
경쟁사,2022-06-27,4,naver,뿌리영양제,['효과'],부정,"[('효과', 'Noun'), ('좋다', 'Adjective')]",효과 좋다
경쟁사,2022-06-27,4,naver,뿌리영양제,['재구매'],부정,"[('재다', 'Verb'), ('하다', 'Verb'), ('구', 'Noun'), ('요', 'Josa')]",재다 하다 구
경쟁사,2022-06-29,4,naver,뿌리영양제,"['사용', '보신분', '추천', '구매', '철', '사용']",부정,"[('사용', 'Noun'), ('해보다', 'Verb'), ('신분', 'Noun'), ('의', 'Josa'), ('추천', 'Noun'), ('으로', 'Josa'), ('구매', 'Noun'), ('하다', 'Verb'), ('장마철', 'Noun'), ('이라', 'Josa'), ('사용', 'Noun'), ('을', 'Josa'), ('못', 'VerbPrefix'), ('해봤다', 'Verb')]",사용 해보다 신분 추천 구매 하다 장마철 사용 못 해봤다
경쟁사,2022-06-29,4,naver,뿌리영양제,"['잔디마당', '풀', '전쟁', '승리']",부정,"[('잔디', 'Noun'), ('마당', 'Noun'), ('의', 'Josa'), ('풀', 'Noun'), ('과의', 'Josa'), ('전쟁', 'Noun'), ('에서', 'Josa'), ('승리', 'Noun'), ('하다', 'Verb')]",잔디 마당 풀 전쟁 승리 하다
경쟁사,2022-06-24,3,naver,뿌리영양제,['배송'],부정,"[('배송', 'Noun'), ('은', 'Josa'), ('빨르다', 'Adjective')]",배송 빨르다
경쟁사,2022-06-24,3,naver,뿌리영양제,"['속비가', '사용못']",부정,"[('계속', 'Noun'), ('비', 'Noun'), ('가', 'Josa'), ('오다', 'Verb'), ('사용', 'Noun'), ('못', 'Noun'), ('하고', 'Josa'), ('있다', 'Adjective')]",계속 비 오다 사용 못 있다
경쟁사,2022-07-11,1,naver,뿌리영양제,"['잡초', '종류', '구매']",부정,"[('잡초', 'Noun'), ('종류', 'Noun'), ('를', 'Josa'), ('따지다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb'), ('하다', 'Verb')]",잡초 종류 따지다 구매 하다 하다
