name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2023-04-13,5,naver,식물영양제,"['베란다', '텃밭', '성공']",긍정,"[('베란다', 'Noun'), ('텃밭', 'Noun'), ('성공', 'Noun')]",베란다 텃밭 성공
경쟁사,2023-04-24,5,naver,식물영양제,"['상추키울때', '구매']",긍정,"[('상추', 'Noun'), ('키우다', 'Verb'), ('때', 'Noun'), ('쓰다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]",상추 키우다 때 쓰다 구매 하다
경쟁사,2023-04-24,5,naver,식물영양제,"['다', '이유']",긍정,"[('다', 'Adverb'), ('들다', 'Verb'), ('이', 'Determiner'), ('것', 'Noun'), ('만', 'Josa'), ('쓰다', 'Verb'), ('이유', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective')]",다 들다 이 것 쓰다 이유 있다
경쟁사,2023-04-22,5,naver,식물영양제,"['사용', '전', '유튜브', '리뷰', '대']",긍정,"[('아직', 'Adverb'), ('사용', 'Noun'), ('전이', 'Noun'), ('지만', 'Josa'), ('유튜브', 'Noun'), ('에도', 'Josa'), ('리뷰', 'Noun'), ('도', 'Josa'), ('좋다', 'Adjective'), ('기대하다', 'Adjective'), ('있다', 'Adjective')]",아직 사용 전이 유튜브 리뷰 좋다 기대하다 있다
경쟁사,2023-04-22,5,naver,식물영양제,"['포장', '스포이드']",긍정,"[('포장', 'Noun'), ('도', 'Josa'), ('꼼꼼하다', 'Adjective'), ('스포이드', 'Noun'), ('도', 'Josa'), ('넣다', 'Verb')]",포장 꼼꼼하다 스포이드 넣다
경쟁사,2023-04-22,5,naver,식물영양제,[],긍정,"[('자다', 'Verb'), ('받다', 'Verb')]",자다 받다
경쟁사,2023-04-22,5,naver,식물영양제,"['배송', '포장', '감사']",긍정,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('과', 'Josa'), ('꼼꼼하다', 'Adjective'), ('포장', 'Noun'), ('감사', 'Noun'), ('드리다', 'Verb')]",빠르다 배송 꼼꼼하다 포장 감사 드리다
경쟁사,2023-04-24,5,naver,식물영양제,"['수경', '재배', '때', '구매']",긍정,"[('수경재배', 'Noun'), ('하다', 'Verb'), ('때', 'Noun'), ('쓰다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]",수경재배 하다 때 쓰다 구매 하다
경쟁사,2023-04-24,5,naver,식물영양제,"['딸기', 'ㅎ']",긍정,"[('딸기', 'Noun'), ('가', 'Josa'), ('자다', 'Verb'), ('크다', 'Verb'), ('야하다', 'Adjective'), ('ㅎ', 'KoreanParticle')]",딸기 자다 크다 야하다 ㅎ
경쟁사,2023-04-24,5,naver,식물영양제,"['수경재배용', '하', '포넥스', '산', '구매']",긍정,"[('수경재배', 'Noun'), ('용이', 'Noun'), ('라', 'Josa'), ('길', 'Noun'), ('래', 'Josa'), ('하이포', 'Noun'), ('넥스', 'Noun'), ('같다', 'Adjective'), ('일', 'Modifier'), ('본', 'Modifier'), ('산들', 'Noun'), ('보다', 'Josa'), ('낫다', 'Verb'), ('싶다', 'Verb'), ('구매', 'Noun'), ('해봤다', 'Verb')]",수경재배 용이 길 하이포 넥스 같다 일 본 산들 낫다 싶다 구매 해봤다
경쟁사,2023-04-25,5,naver,식물영양제,"['딸기', '육묘용', '구입']",긍정,"[('딸기', 'Noun'), ('육묘', 'Noun'), ('용', 'Noun'), ('으로', 'Josa'), ('구입', 'Noun'), ('하다', 'Verb')]",딸기 육묘 용 구입 하다
경쟁사,2023-04-25,5,naver,식물영양제,[],긍정,"[('자다', 'Verb'), ('쓰다', 'Verb')]",자다 쓰다
경쟁사,2023-04-21,5,naver,식물영양제,"['희석', '사용']",긍정,"[('많이', 'Adverb'), ('희다', 'Adjective'), ('석', 'Modifier'), ('해', 'Noun'), ('서', 'Josa'), ('사용', 'Noun'), ('중', 'Suffix'), ('이다', 'Adjective')]",많이 희다 석 해 사용 중 이다
경쟁사,2023-04-21,5,naver,식물영양제,"['꽃도', '열매']",긍정,"[('그렇다', 'Adjective'), ('꽃', 'Noun'), ('도', 'Josa'), ('잘피', 'Noun'), ('고', 'Josa'), ('열매', 'Noun'), ('도', 'Josa'), ('잘', 'VerbPrefix'), ('열리다', 'Verb')]",그렇다 꽃 잘피 열매 잘 열리다
경쟁사,2023-04-24,5,naver,식물영양제,[],긍정,"[('잘쓰다', 'Verb')]",잘쓰다
경쟁사,2023-04-24,5,naver,식물영양제,[],긍정,"[('많이', 'Adverb'), ('파다', 'Verb')]",많이 파다
경쟁사,2023-04-12,5,naver,식물영양제,"['작년', '사용', '만족', '올해', '구입']",긍정,"[('작년', 'Noun'), ('에', 'Josa'), ('사용', 'Noun'), ('해보다', 'Verb'), ('만족하다', 'Adjective'), ('올해', 'Noun'), ('도', 'Josa'), ('구입', 'Noun'), ('하다', 'Verb')]",작년 사용 해보다 만족하다 올해 구입 하다
경쟁사,2023-04-12,5,naver,식물영양제,"['가정', '화분', '작물', '사용', '작물']",긍정,"[('가정', 'Noun'), ('에서', 'Josa'), ('화분', 'Noun'), ('에', 'Josa'), ('작물', 'Noun'), ('키우다', 'Verb'), ('사용', 'Noun'), ('도', 'Josa'), ('간편하다', 'Adjective'), ('작물', 'Noun'), ('도', 'Josa'), ('자다', 'Verb'), ('자라다', 'Verb')]",가정 화분 작물 키우다 사용 간편하다 작물 자다 자라다
경쟁사,2023-04-26,5,naver,식물영양제,"['배', '제품', '포장', '만족']",긍정,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('제품', 'Noun'), ('도', 'Josa'), ('포장', 'Noun'), ('도', 'Josa'), ('만족하다', 'Adjective')]",배송 빠르다 제품 포장 만족하다
경쟁사,2023-04-26,5,naver,식물영양제,['사용'],긍정,"[('자다', 'Verb'), ('용하다', 'Adjective')]",자다 용하다
경쟁사,2023-04-26,5,naver,식물영양제,['만족'],긍정,"[('만족하다', 'Adjective')]",만족하다
경쟁사,2023-04-13,5,naver,식물영양제,"['유튜브', '장훈', '농장', '사용']",긍정,"[('유튜브', 'Noun'), ('장훈', 'Noun'), ('농장', 'Noun'), ('에서', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('보고', 'Noun'), ('사르다', 'Verb'), ('오다', 'Verb')]",유튜브 장훈 농장 사용 하다 보고 사르다 오다
경쟁사,2023-04-13,5,naver,식물영양제,"['스포이드', '감사']",긍정,"[('스포이드', 'Noun'), ('까지', 'Josa'), ('보내다', 'Verb'), ('감사하다', 'Verb')]",스포이드 보내다 감사하다
경쟁사,2023-04-13,5,naver,식물영양제,"['유튜브', '장훈', '농장', '사용']",긍정,"[('유튜브', 'Noun'), ('장훈', 'Noun'), ('농장', 'Noun'), ('에서', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('보고', 'Noun'), ('사르다', 'Verb'), ('오다', 'Verb')]",유튜브 장훈 농장 사용 하다 보고 사르다 오다
경쟁사,2023-04-13,5,naver,식물영양제,"['스포이드', '감사']",긍정,"[('스포이드', 'Noun'), ('까지', 'Josa'), ('보내다', 'Verb'), ('감사하다', 'Verb')]",스포이드 보내다 감사하다
경쟁사,2023-04-25,5,naver,식물영양제,"['텃밭', '농사', '화초', '관리', '사용']",긍정,"[('텃밭', 'Noun'), ('농사', 'Noun'), ('와', 'Josa'), ('화초', 'Noun'), ('관리', 'Noun'), ('에', 'Josa'), ('자다', 'Verb'), ('사용', 'Noun'), ('중', 'Suffix'), ('이다', 'Adjective')]",텃밭 농사 화초 관리 자다 사용 중 이다
경쟁사,2023-04-21,5,naver,식물영양제,['배송'],긍정,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('잘', 'VerbPrefix'), ('오다', 'Verb')]",배송 빠르다 잘 오다
경쟁사,2023-04-21,5,naver,식물영양제,"['사용', '나중', '후기']",긍정,"[('사용', 'Noun'), ('해보다', 'Verb'), ('나중', 'Noun'), ('에', 'Josa'), ('후기', 'Noun'), ('도', 'Josa'), ('올리다', 'Verb'), ('보다', 'Verb')]",사용 해보다 나중 후기 올리다 보다
